ITSC_ID, G(x), G(y), G(z), G(calibrated),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(℃),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Intake Air Temperature(℃),Relative Throttle Position(%),Throttle Position(Manifold)(%),Timing Advance(°),ACC_Y(m/s^2),ACC_Z(m/s^2),ENV1,ENV2,ENV_SPEED_LIMIT(km/h),DELTA_THETA(°),ACC_X(m/s),Speed (OBD)(km/h)
3,-2.08202052,9.14403534,4.39081907,0.07456273,53.72549057,0.04812322,23.13725471,37.64706039,14.06866074,86,60,44.31372452,2356.25,46,3.92156863,20.3921566,36.5,1.74,8.91,0.12321,-0.0313,25,0.977,1.11,34
3,-1.87949157,8.50725937,4.25160885,0.00721991,53.72549057,-0.01144247,21.17647171,36.47058868,14.06866074,86,50.19607925,30.98039246,2428,46,3.92156863,20.3921566,36.5,-0.201,8.91,2.4951136,-0.34,25,-1.94,0,36
3,-0.7765851,8.96306133,4.38198757,0.02224845,54.90196228,0.02735648,21.17647171,35.68627548,14.06866074,86,50.19607925,26.66666603,2428,46,4.70588255,20.3921566,40,-2.19,9.15,0.618272,0.123,25,-1.99,1.11,36
3,-0.40790176,8.95123577,4.61205912,0.05735785,52.54901886,0.03871263,21.17647171,35.68627548,14.06866074,85,45.09804153,26.66666603,2500,46,3.13725495,19.2156868,40.5,0.77,8.66,0.12321,0.123,25,2.96,-0.556,38
3,-0.75877213,8.87863636,4.67028809,0.05570024,52.54901886,0.01365485,20,34.90196228,14.06866074,85,32.94117737,17.64705849,2501.5,46,3.13725495,19.2156868,40.5,0.814,8.41,2.58741,-0.186,25,0.0438,0,37
3,-0.6101312,8.74152184,4.93194389,0.02763122,52.15686417,0.03776746,19.6078434,34.50980377,14.06866074,85,32.94117737,16.47058868,2470.25,46,2.74509811,19.6078434,39,-1.26,8.54,2.4642,-0.958,25,-2.08,1.11,37
3,-0.93465638,8.72550488,5.37053204,0.06776386,52.15686417,0.04912215,19.6078434,34.50980377,14.21369839,85,27.45098114,16.47058868,2470.25,46,0.39215687,16.47058868,22.5,-6.44,8.91,0.0309136,-0.34,25,-5.18,-1.11,39
3,-1.10410404,8.43480968,5.32951736,0.04227895,49.41176605,0.06004278,18.4313736,32.94117737,14.21369839,85,20.3921566,10.5882349,2375.75,46,0.39215687,16.47058868,22.5,-2.19,8.29,0.618272,-0.0313,25,4.25,0,37
3,-0.82373703,8.71921825,5.49028301,0.0726859,49.41176605,0.05619897,16.86274529,31.76470566,14.21369839,85,20.3921566,9.8039217,2375.75,46,0,16.86274529,19.5,-0.216,8.66,0,0.123,25,1.97,-0.556,37
3,-0.51852173,8.66069031,5.37247801,0.05925459,49.01960754,0.07534921,15.68627453,31.76470566,14.21369839,85,21.56862831,9.8039217,2269.5,46,0,16.86274529,18,0.814,8.41,0.27889,0.432,25,1.03,0,36
3,-0.60219771,8.51803684,5.49971342,0.05438107,49.01960754,0.03573471,15.68627453,30.58823586,14.21369839,85,23.13725471,10.1960783,1771.75,46,0,16.86274529,19.5,2.94,8.54,5.85669,0.741,25,2.13,0,36
3,-0.635728,8.36685085,5.97662163,0.06913871,49.80392075,0.03714536,15.29411793,30.58823586,14.21369839,85,23.13725471,25.88235283,1771.75,46,0,16.86274529,19.5,4.98,8.41,5.5778,1.98,25,2.03,-1.67,36
3,-0.58633071,8.09097481,6.12840605,0.05537695,49.01960754,0.06079578,15.29411793,30.58823586,14.21369839,85,40,25.88235283,928.75,46,0,16.86274529,18,13.6,8.91,0.12321,1.82,25,8.6,-1.67,33
3,0.59830582,8.33870983,6.0875411,0.07319707,49.01960754,0.05111156,15.68627453,30.58823586,14.21369839,85,45.09804153,27.05882263,793.75,46,0,16.86274529,15,11.8,8.54,2.58741,1.36,25,-1.78,0,30
3,2.11555076,8.95003796,5.16426086,0.09417146,49.01960754,0.05773668,15.29411793,30.58823586,14.21369839,85,45.09804153,26.66666603,806.25,46,0,16.86274529,15,9.15,8.78,2.4642,0.741,25,-2.65,-1.11,30
3,3.78562784,8.9388113,5.50989199,0.15682763,49.01960754,0.1382163,15.29411793,30.58823586,14.21369839,85,47.05882263,26.66666603,806.25,46,3.13725495,20,14.5,4.84,9.27,0.0309136,-1.42,25,-4.32,-1.11,28
3,3.78443027,9.32216454,4.62642908,0.14782518,54.11764908,0.13867612,20,34.90196228,14.21369839,85,52.15686417,32.54901886,1921.75,46,3.13725495,20,14.5,-8.81,9.15,1.111112,-3.12,25,-13.6,0,26
3,2.85201931,9.20420933,3.73054218,0.07230073,57.64706039,0.05366059,23.52941132,38.82352829,14.21369839,85,52.15686417,61.96078491,1921.75,46,6.27450991,24.31372643,27.5,-19.9,9.63,10.13569,-0.224,25,-11.1,0.556,26
4,0.07723938,9.55373287,3.28761339,0.0489561,63.13725662,0.05788841,25.09803963,39.60784531,14.21369839,85,88.23529816,57.25490189,2077.25,46,10.58823586,27.84313774,18.5,-1.33,9.54,5.5778,0.0312,25,1.86,2.22,27
4,0.22198838,9.56855202,3.58953547,0.06100768,60,0.03900242,25.09803963,39.60784531,14.21369839,85,80.39215851,57.25490189,2285,46,7.84313726,25.49019623,22,0.187,9.37,0.49284,0.159,25,1.52,1.67,31
4,0.10657837,9.19373131,3.63818431,0.02695054,60,0.00829481,23.92156982,38.03921509,14.21369839,85,72.15686035,49.01960754,2437.5,46,7.84313726,24.70588303,26,0.97,9.27,9.8568,0.159,25,0.783,0,34
4,0.2561174,9.35120392,3.97992373,0.05530375,58.8235321,0.02533067,23.52941132,38.03921509,14.21369839,85,72.15686035,44.31372452,2569.5,46,7.45098066,24.70588303,26,0.981,9.16,0,0.0949,25,0.0108,2.22,34
4,0.15193406,9.33952808,4.17182446,0.06181878,56.86274719,0.04317512,23.52941132,38.03921509,14.06866074,85,70.98039246,44.31372452,2569.5,46,5.49019623,23.13725471,33.5,0.593,9.11,0.12321,0.0312,25,-0.387,0,38
4,0.28246263,9.02248764,4.82446766,0.06234962,56.86274719,0.04659346,22.74509811,36.86274719,14.06866074,85,54.11764908,36.47058868,2670.25,46,5.49019623,23.13725471,39,0.196,9.23,2.4642,-0.0326,25,-0.397,0,38
4,0.28036699,8.71876907,4.68869972,0.02853173,48.23529434,0.02268118,15.68627453,30.58823586,14.06866074,85,54.11764908,8.23529434,2000.75,46,0,16.07843208,39,-0.202,9.23,0,-0.0963,25,-0.398,1.11,38
4,0.36344421,9.54699707,3.75194788,0.06530243,66.27451324,0.03612911,26.66666794,30.58823586,14.06866074,85,28.23529434,8.23529434,2000.75,46,13.33333397,29.80392265,22,-0.598,9.27,0.12321,-0.0326,25,-0.395,0,40
4,0.4285588,9.40389442,3.80314136,0.05395108,66.27451324,0.04790312,26.66666794,40.7843132,14.06866074,85,91.37255096,65.88235474,1915.5,46,13.33333397,29.80392265,16.5,-0.201,9.25,28.3852,-0.0326,25,0.396,0,40
4,0.27931917,9.26498318,4.0387516,0.04966849,58.4313736,0.03102055,22.74509811,37.25490189,14.21369839,85,91.37255096,49.80392075,1915.5,46,7.45098066,25.49019623,16.5,-0.202,9.25,518.91284,-0.16,25,-0.000376,1.11,40
4,0.29788056,9.15750694,4.3342371,0.05221015,58.4313736,0.02413488,22.74509811,37.25490189,14.21369839,85,71.37255096,49.80392075,2000,46,5.09803915,21.96078491,28,-0.991,9.44,9.8568,0.358,25,-0.789,-16.1,42
5,0.04326004,9.31138706,3.91406059,0.04863065,68.62744904,0.0505278,27.45098114,39.2156868,14.21369839,85,37.64706039,53.72549057,951.5,45,12.54901981,23.52941132,19,2.17,9.71,0,0.49,25,0.488,-2.22,13
5,0.34248778,10.11312008,2.30610442,0.07693797,68.62744904,0.05592823,27.45098114,39.2156868,14.21369839,85,77.64705658,53.72549057,1865.5,45,8.23529434,25.09803963,22,2.89,9.53,1.10889,0.424,25,0.721,0,9
5,0.40326142,9.8197298,2.48977256,0.05248362,59.2156868,0.05795281,24.70588303,39.60784531,14.21369839,85,83.13725281,54.90196228,1875.75,45,8.23529434,25.09803963,22,2.55,9.67,22.45669,0.269,25,-0.343,0,9
5,0.4897815,9.91403389,2.7568171,0.05426902,60,0.03562269,25.49019623,39.60784531,14.06866074,85,83.13725281,53.33333206,1875.75,45,8.62745094,25.09803963,20,1.6,9.67,5.5778,0.269,25,-0.952,3.33,9
5,0.7614665,9.67333412,2.99886394,0.05428046,60,0.03126153,25.49019623,39.60784531,14.06866074,85,77.2549057,53.33333206,2267.75,45,9.01960754,25.88235283,22.5,1.6,9.76,1.10889,0.137,25,0,1.67,15
5,0.95725936,9.44086742,3.37293601,0.04559523,60.39215851,-0.02182857,25.09803963,39.60784531,14.06866074,85,75.29412079,47.84313583,2764.75,45,9.01960754,25.88235283,22.5,0.804,9.49,22.67064,0.159,25,-0.793,0,18
5,0.97387481,8.86830807,4.73181009,0.04843718,48.62745285,0.01740584,15.68627453,30.58823586,14.06866074,85,75.29412079,6.66666651,2764.75,45,0.78431374,20.3921566,36,0.961,9.67,9.8568,0.00454,25,0.156,3.33,18
5,1.5135026,9.76254845,3.44613361,0.08556229,48.62745285,0.02378555,15.68627453,30.58823586,14.21369839,85,25.49019623,6.66666651,2576.5,45,0.78431374,28.62745094,18.5,0.0269,9.53,0.27889,0.00454,25,-0.934,2.22,24
5,1.71767807,9.32276344,3.33476543,0.04337603,65.88235474,0.024726,26.66666794,40.7843132,14.21369839,85,25.49019623,67.84313965,2078,45,12.15686321,28.62745094,18.5,0.0273,9.31,5.85669,0.0487,25,0.000384,0,28
5,1.61514127,9.61375809,3.4387989,0.07274431,63.13725662,0.05384547,25.09803963,38.82352829,14.21369839,85,90.58823395,58.03921509,2078,45,11.37254906,28.62745094,12.5,0.3,9.31,5.5778,0.0487,25,0.272,1.67,28
5,1.45557308,9.24776936,3.73907447,0.04659468,59.60784531,0.0279458,25.09803963,38.82352829,14.21369839,85,78.4313736,58.03921509,2335.75,45,8.62745094,25.09803963,22.5,0.3,9.26,0.77284,0.00454,25,0,1.67,31
